Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
1	. pun		589872
2	, pun		583403
3	the at0		409060
4	i pnp		304394
5	you pnp		268365
6	and cjc		261327
7	it pnp		253763
8	a at0		200004
9	of prf		172739
10	's vbz		163452
11	? pun		157883
12	to to0		153997
13	[unclear] unc		152636
14	that dt0		132323
15	n't xx0		126275
16	in prp		118457
17	we pnp		107667
18	is vbz		105044
19	they pnp		96528
20	er unc		88354
21	was vbd		83704
22	yeah itj		81611
23	to prp		79455
24	what dtq		75604
25	he pnp		75276
26	do vdb		73199
27	for prp		66590
28	but cjc		65752
29	that cjt		65072
30	erm unc		62352
31	! pun		60417
32	well av0		59113
33	be vbi		58683
34	this dt0		58074
35	so av0		56438
36	oh itj		52269
37	not xx0		48682
38	if cjs		48318
39	are vbb		48091
40	on prp		47964
41	've vhb		47889
42	at prp		47582
43	with prp		47009
44	no itj		45527
45	're vbb		43958
46	she pnp		42845
47	have vhb		42668
48	there ex0		42044
49	all dt0		40731
50	know vvb		40339
51	just av0		39745
52	yes itj		39689
53	got vvn		38584
54	can vm0		37022
55	then av0		35920
56	did vdd		34830
57	or cjc		34827
58	have vhi		34598
59	would vm0		33904
60	mm itj		32690
61	them pnp		32327
62	'll vm0		31711
63	there av0		30946
64	now av0		30107
65	think vvb		29761
66	one crd		29591
67	your dps		29541
68	were vbd		28880
69	up avp		28397
70	two crd		27866
71	out avp		26903
72	about prp		26068
73	'm vbb		25964
74	do vdi		25956
75	as cjs		25833
76	me pnp		25255
77	said vvd		25203
78	very av0		24488
79	from prp		24101
80	my dps		23510
81	had vhd		23322
82	get vvi		22944
83	when cjs		22766
84	which dtq		22657
85	because cjs		22532
86	going vvg		22357
87	been vbn		21493
88	people nn0		21293
89	mean vvb		21278
90	[gap:name] unc		21121
91	right av0		20570
92	some dt0		20539
93	one pni		20238
94	could vm0		20148
95	how avq		19521
96	will vm0		19451
97	's vhz		19079
98	an at0		19049
99	time nn1		19002
100	go vvi		18687
101	who pnq		18352
102	like prp		18115
103	really av0		17811
104	three crd		17734
105	here av0		17373
106	know vvi		17082
107	by prp		16911
108	's pos		16566
109	has vhz		16483
110	good aj0		16130
111	does vdz		16008
112	cos cjs		15876
113	any dt0		15323
114	that dt0-cjt		15290
115	see vvb		14269
116	na to0		14213
117	him pnp		13943
118	his dps		13747
119	five crd		13445
120	something pni		13320
121	their dps		13232
122	way nn1		13205
123	other aj0		13099
124	these dt0		13098
125	down avp		12973
126	get vvb		12900
127	ca vm0		12896
128	on avp		12859
129	say vvi		12840
130	our dps		12816
131	actually av0		12773
132	that cjt-dt0		12748
133	back avp		12526
134	where avq		12476
135	four crd		12358
136	'd vm0		12338
137	bit nn1		12243
138	sort nn1		12151
139	should vm0		12088
140	no at0		12051
141	gon vvg		11915
142	thing nn1		11749
143	see vvi		11688
144	those dt0		11547
145	on prp-avp		11499
146	why avq		11497
147	things nn2		11399
148	lot nn1		11225
149	think vvi		11164
150	into prp		11005
151	us pnp		10921
152	quite av0		10852
153	got vvd		10561
154	hundred crd		10511
155	go vvb		10461
156	want vvb		10346
157	first ord		10021
158	only av0		9921
159	more dt0		9796
160	doing vdg		9733
161	done vdn		9613
162	twenty crd		9505
163	went vvd		9432
164	okay av0		9299
165	than cjs		9253
166	right aj0		9205
167	in avp-prp		9068
168	six crd		8887
169	again av0		8864
170	come vvb		8847
171	say vvb		8610
172	might vm0		8354
173	year nn1		8294
174	her pnp		8285
175	last ord		8240
176	want vvi		7977
177	much dt0		7935
178	as prp		7862
179	on avp-prp		7795
180	little aj0		7715
181	day nn1		7702
182	take vvi		7691
183	used vm0		7691
184	like av0		7666
185	says vvz		7664
186	thought vvd		7580
187	put vvb		7557
188	in prp-avp		7549
189	mhm itj		7467
190	like vvi		7460
191	ah itj		7354
192	come vvi		7337
193	years nn2		7251
194	never av0		7247
195	make vvi		7199
196	course nn1		7087
197	still av0		7074
198	more av0		7024
199	off avp		6975
200	same dt0		6842
201	another dt0		6794
202	many dt0		6707
203	her dps		6666
204	being vbg		6601
205	money nn1		6593
206	anything pni		6562
207	week nn1		6525
208	put vvi		6515
209	too av0		6501
210	next ord		6492
211	look vvb		6452
212	one pni-crd		6449
213	ten crd		6346
