"","textnr","tokenindex","token"
"1","11",1,"The"
"2","11",2,"pencil"
"3","11",3,"is"
"4","11",4,"a"
"5","11",5,"modern-"
"6","11",6,"day"
"7","11",7,"version"
"8","11",8,"of"
"9","11",9,"a"
"10","11",10,"centuries-"
"11","11",11,"old"
"12","11",12,"writing"
"13","11",13,"implement."
"14","11",14,"Around"
"15","11",15,"1560,"
"16","11",16,"an"
"17","11",17,"Italian"
"18","11",18,"couple"
"19","11",19,"designed"
"20","11",20,"the"
"21","11",21,"modern,"
"22","11",22,"wood-"
"23","11",23,"encased"
"24","11",24,"pencil."
"25","11",25,"Their"
"26","11",26,"creation"
"27","11",27,"was"
"28","11",28,"flatter"
"29","11",29,"and"
"30","11",30,"more"
"31","11",31,"compact"
"32","11",32,"than"
"33","11",33,"the"
"34","11",34,"pencils"
"35","11",35,"we"
"36","11",36,"use"
"37","11",37,"today."
"38","11",38,"Their"
"39","11",39,"plan"
"40","11",40,"involved"
"41","11",41,"hollowing"
"42","11",42,"out"
"43","11",43,"a"
"44","11",44,"stick"
"45","11",45,"of"
"46","11",46,"wood"
"47","11",47,"and"
"48","11",48,"inserting"
"49","11",49,"a"
"50","11",50,"stick"
"51","11",51,"of"
"52","11",52,"graphite"
"53","11",53,"into"
"54","11",54,"it."
"55","11",55,"Shortly"
"56","11",56,"after,"
"57","11",57,"a"
"58","11",58,"better"
"59","11",59,"technique"
"60","11",60,"was"
"61","11",61,"discovered:"
"62","11",62,"two"
"63","11",63,"wooden"
"64","11",64,"halves"
"65","11",65,"were"
"66","11",66,"carved,"
"67","11",67,"a"
"68","11",68,"graphite"
"69","11",69,"stick"
"70","11",70,"was"
"71","11",71,"inserted,"
"72","11",72,"and"
"73","11",73,"then"
"74","11",74,"the"
"75","11",75,"halves"
"76","11",76,"were"
"77","11",77,"glued"
"78","11",78,"together,"
"79","11",79,"which"
"80","11",80,"is"
"81","11",81,"also"
"82","11",82,"how"
"83","11",83,"pencils"
"84","11",84,"are"
"85","11",85,"currently"
"86","11",86,"made."
"87","11",87,"Although"
"88","11",88,"many"
"89","11",89,"people"
"90","11",90,"refer"
"91","11",91,"to"
"92","11",92,"the"
"93","11",93,"graphite"
"94","11",94,"inside"
"95","11",95,"pencils"
"96","11",96,"as"
"97","11",97,"“lead”,"
"98","11",98,"they"
"99","11",99,"have"
"100","11",100,"always"
"101","11",101,"been"
"102","11",102,"made"
"103","11",103,"with"
"104","11",104,"graphite;"
"105","11",105,"however,"
"106","11",106,"the"
"107","11",107,"paint"
"108","11",108,"on"
"109","11",109,"the"
"110","11",110,"wood"
"111","11",111,"that"
"112","11",112,"surrounded"
"113","11",113,"the"
"114","11",114,"graphite"
"115","11",115,"was,"
"116","11",116,"at"
"117","11",117,"one"
"118","11",118,"time,"
"119","11",119,"lead-"
"120","11",120,"based."
