,Unnamed: 0,textnr,tokenindex,token,vader_score,vader_polarity
0,1,2,1,Leonardo,0.0,Neutral
1,2,2,2,da,0.0,Neutral
2,3,2,3,Vinci,0.0,Neutral
3,4,2,4,is,0.0,Neutral
4,5,2,5,not,0.0,Neutral
5,6,2,6,only,0.0,Neutral
6,7,2,7,one,0.0,Neutral
7,8,2,8,of,0.0,Neutral
8,9,2,9,the,0.0,Neutral
9,10,2,10,most,0.0,Neutral
10,11,2,11,famous,0.0,Neutral
11,12,2,12,artists,0.0,Neutral
12,13,2,13,in,0.0,Neutral
13,14,2,14,history,0.0,Neutral
14,15,2,15,but,0.0,Neutral
15,16,2,16,he,0.0,Neutral
16,17,2,17,was,0.0,Neutral
17,18,2,18,also,0.0,Neutral
18,19,2,19,a,0.0,Neutral
19,20,2,20,botanist,0.0,Neutral
20,21,2,21,a,0.0,Neutral
21,22,2,22,writer,0.0,Neutral
22,23,2,23,and,0.0,Neutral
23,24,2,24,an,0.0,Neutral
24,25,2,25,inventor,0.0,Neutral
25,26,2,26,Even,0.0,Neutral
26,27,2,27,though,0.0,Neutral
27,28,2,28,most,0.0,Neutral
28,29,2,29,of,0.0,Neutral
29,30,2,30,his,0.0,Neutral
30,31,2,31,inventions,0.0,Neutral
31,32,2,32,were,0.0,Neutral
32,33,2,33,not,0.0,Neutral
33,34,2,34,actually,0.0,Neutral
34,35,2,35,built,0.0,Neutral
35,36,2,36,in,0.0,Neutral
36,37,2,37,his,0.0,Neutral
37,38,2,38,lifetime,0.0,Neutral
38,39,2,39,many,0.0,Neutral
39,40,2,40,of,0.0,Neutral
40,41,2,41,today’s,0.0,Neutral
41,42,2,42,modern,0.0,Neutral
42,43,2,43,machines,0.0,Neutral
43,44,2,44,can,0.0,Neutral
44,45,2,45,be,0.0,Neutral
45,46,2,46,traced,0.0,Neutral
46,47,2,47,back,0.0,Neutral
47,48,2,48,to,0.0,Neutral
48,49,2,49,some,0.0,Neutral
49,50,2,50,of,0.0,Neutral
50,51,2,51,his,0.0,Neutral
51,52,2,52,original,0.3182,Positive
52,53,2,53,designs,0.0,Neutral
53,54,2,54,The,0.0,Neutral
54,55,2,55,parachute,0.0,Neutral
55,56,2,56,the,0.0,Neutral
56,57,2,57,military,0.0,Neutral
57,58,2,58,tank,0.0,Neutral
58,59,2,59,the,0.0,Neutral
59,60,2,60,bicycle,0.0,Neutral
60,61,2,61,and,0.0,Neutral
61,62,2,62,even,0.0,Neutral
62,63,2,63,the,0.0,Neutral
63,64,2,64,airplane,0.0,Neutral
64,65,2,65,were,0.0,Neutral
65,66,2,66,foretold,0.0,Neutral
66,67,2,67,in,0.0,Neutral
67,68,2,68,the,0.0,Neutral
68,69,2,69,imaginative,0.0,Neutral
69,70,2,70,drawings,0.0,Neutral
70,71,2,71,that,0.0,Neutral
71,72,2,72,can,0.0,Neutral
72,73,2,73,still,0.0,Neutral
73,74,2,74,be,0.0,Neutral
74,75,2,75,seen,0.0,Neutral
75,76,2,76,in,0.0,Neutral
76,77,2,77,the,0.0,Neutral
77,78,2,78,fragments,0.0,Neutral
78,79,2,79,of,0.0,Neutral
79,80,2,80,da,0.0,Neutral
80,81,2,81,Vinci’s,0.0,Neutral
81,82,2,82,notebooks,0.0,Neutral
82,83,2,83,Over,0.0,Neutral
83,84,2,84,five,0.0,Neutral
84,85,2,85,hundred,0.0,Neutral
85,86,2,86,years,0.0,Neutral
86,87,2,87,ago,0.0,Neutral
87,88,2,88,this,0.0,Neutral
88,89,2,89,man,0.0,Neutral
89,90,2,90,conceived,0.0,Neutral
90,91,2,91,ideas,0.0,Neutral
91,92,2,92,that,0.0,Neutral
92,93,2,93,were,0.0,Neutral
93,94,2,94,far,0.0,Neutral
94,95,2,95,ahead,0.0,Neutral
95,96,2,96,of,0.0,Neutral
96,97,2,97,his,0.0,Neutral
97,98,2,98,time,0.0,Neutral
