"","textnr","tokenindex","token"
"1","8",1,"Hibernation"
"2","8",2,"in"
"3","8",3,"animals"
"4","8",4,"is"
"5","8",5,"an"
"6","8",6,"extremely"
"7","8",7,"fascinating"
"8","8",8,"phenomenon"
"9","8",9,"one"
"10","8",10,"that"
"11","8",11,"biologists"
"12","8",12,"are"
"13","8",13,"not"
"14","8",14,"yet"
"15","8",15,"close"
"16","8",16,"to"
"17","8",17,"understanding"
"18","8",18,"fully"
"19","8",19,"However"
"20","8",20,"it"
"21","8",21,"is"
"22","8",22,"quite"
"23","8",23,"easy"
"24","8",24,"to"
"25","8",25,"understand"
"26","8",26,"why"
"27","8",27,"animals"
"28","8",28,"hibernate"
"29","8",29,"during"
"30","8",30,"the"
"31","8",31,"cold"
"32","8",32,"winter"
"33","8",33,"months"
"34","8",34,"Usually"
"35","8",35,"it"
"36","8",36,"is"
"37","8",37,"because"
"38","8",38,"their"
"39","8",39,"food"
"40","8",40,"is"
"41","8",41,"quite"
"42","8",42,"scarce"
"43","8",43,"during"
"44","8",44,"this"
"45","8",45,"time"
"46","8",46,"Animals"
"47","8",47,"that"
"48","8",48,"are"
"49","8",49,"herbivores"
"50","8",50,"will"
"51","8",51,"find"
"52","8",52,"the"
"53","8",53,"winters"
"54","8",54,"extremely"
"55","8",55,"tough"
"56","8",56,"because"
"57","8",57,"all"
"58","8",58,"of"
"59","8",59,"the"
"60","8",60,"vegetation"
"61","8",61,"will"
"62","8",62,"have"
"63","8",63,"died"
"64","8",64,"off"
"65","8",65,"by"
"66","8",66,"the"
"67","8",67,"time"
"68","8",68,"winter"
"69","8",69,"arrives"
"70","8",70,"Hibernation"
"71","8",71,"is"
"72","8",72,"essentially"
"73","8",73,"a"
"74","8",74,"way"
"75","8",75,"of"
"76","8",76,"dealing"
"77","8",77,"with"
"78","8",78,"this"
"79","8",79,"food"
"80","8",80,"shortage"
"81","8",81,"Animals"
"82","8",82,"like"
"83","8",83,"birds"
"84","8",84,"rely"
"85","8",85,"on"
"86","8",86,"seeds"
"87","8",87,"and"
"88","8",88,"small"
"89","8",89,"insects"
"90","8",90,"for"
"91","8",91,"sustenance"
"92","8",92,"Obviously"
"93","8",93,"these"
"94","8",94,"will"
"95","8",95,"also"
"96","8",96,"be"
"97","8",97,"quite"
"98","8",98,"scarce"
"99","8",99,"in"
"100","8",100,"the"
"101","8",101,"winter"
"102","8",102,"when"
"103","8",103,"the"
"104","8",104,"ground"
"105","8",105,"becomes"
"106","8",106,"covered"
"107","8",107,"and"
"108","8",108,"frozen"
"109","8",109,"Many"
"110","8",110,"birds"
"111","8",111,"address"
"112","8",112,"their"
"113","8",113,"upcoming"
"114","8",114,"food"
"115","8",115,"shortage"
"116","8",116,"in"
"117","8",117,"quite"
"118","8",118,"a"
"119","8",119,"different"
"120","8",120,"way"
"121","8",121,"they"
"122","8",122,"migrate"
"123","8",123,"to"
"124","8",124,"warmer"
"125","8",125,"areas"
"126","8",126,"where"
"127","8",127,"their"
"128","8",128,"sources"
"129","8",129,"of"
"130","8",130,"food"
"131","8",131,"will"
"132","8",132,"be"
"133","8",133,"plentiful"
